Timestamp,Temperature,Humidity,Precipitation,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos,hour_sin,hour_cos
2024-09-19 12:20:12,9.518138,92.38178,0.023989791,-0.23391223,8446.868,8.541642,-0.011945128,-0.2547593,0,0
2024-09-19 13:20:12,9.518418,92.503845,0.024058335,-0.24451247,8451.671,8.5541525,-0.009601593,-0.25702965,0,0
2024-09-19 14:20:12,9.518309,92.62413,0.024125867,-0.25482854,8456.362,8.566227,-0.0073337555,-0.25919926,0,0
2024-09-19 15:20:12,9.517829,92.74259,0.02419236,-0.2648695,8460.942,8.577869,-0.0051398277,-0.26127315,0,0
2024-09-19 16:20:12,9.517003,92.85924,0.02425784,-0.27464437,8465.413,8.589089,-0.0030174255,-0.2632562,0,0
2024-09-19 17:20:12,9.515847,92.974075,0.024322318,-0.28416103,8469.774,8.5998955,-0.0009646416,-0.265153,0,0
2024-09-19 18:20:12,9.514384,93.08713,0.024385804,-0.29342845,8474.026,8.61029,0.0010206699,-0.2669679,0,0
2024-09-19 19:20:12,9.51263,93.19837,0.024448305,-0.30245322,8478.172,8.620283,0.0029402971,-0.2687049,0,0
2024-09-19 20:20:12,9.510604,93.30782,0.024509832,-0.31124383,8482.211,8.629885,0.004796505,-0.27036786,0,0
2024-09-19 21:20:12,9.50832,93.4155,0.024570366,-0.3198064,8486.145,8.639101,0.006590843,-0.27196056,0,0
2024-09-19 22:20:12,9.505796,93.5214,0.024629958,-0.32814798,8489.975,8.647942,0.008325577,-0.27348632,0,0
2024-09-19 23:20:12,9.503048,93.62553,0.024688603,-0.33627504,8493.701,8.656415,0.010002255,-0.27494836,0,0
2024-09-20 00:20:12,9.5000925,93.72792,0.024746303,-0.3441935,8497.326,8.664531,0.011622906,-0.27635014,0,0
2024-09-20 01:20:12,9.496942,93.828575,0.024803085,-0.35190898,8500.852,8.672299,0.013189316,-0.27769434,0,0
2024-09-20 02:20:12,9.493611,93.927536,0.024858953,-0.35942802,8504.277,8.679727,0.014703155,-0.2789837,0,0
2024-09-20 03:20:12,9.49011,94.02477,0.024913916,-0.3667553,8507.606,8.686824,0.01616621,-0.28022087,0,0
2024-09-20 04:20:12,9.486457,94.12034,0.024967982,-0.37389645,8510.84,8.6936,0.017580152,-0.2814083,0,0
2024-09-20 05:20:12,9.482658,94.21424,0.02502117,-0.3808565,8513.978,8.700066,0.01894641,-0.28254855,0,0
2024-09-20 06:20:12,9.478727,94.30649,0.025073482,-0.3876398,8517.023,8.706227,0.020266771,-0.28364342,0,0
2024-09-20 07:20:12,9.474677,94.39713,0.025124941,-0.39425203,8519.978,8.712095,0.021542907,-0.2846954,0,0
2024-09-20 08:20:12,9.470517,94.48618,0.025175562,-0.40069655,8522.843,8.717681,0.022776127,-0.2857064,0,0
2024-09-20 09:20:12,9.466253,94.573654,0.02522536,-0.40697837,8525.619,8.722987,0.023967862,-0.28667808,0,0
2024-09-20 10:20:12,9.4619,94.65958,0.025274318,-0.41310194,8528.31,8.728028,0.025119543,-0.28761232,0,0
2024-09-20 11:20:12,9.457463,94.74396,0.025322508,-0.419071,8530.915,8.732811,0.0262326,-0.28851068,0,0
2024-09-20 12:20:12,9.452952,94.826836,0.025369883,-0.42488956,8533.437,8.737346,0.027308464,-0.28937507,0,0
2024-09-20 13:20:12,9.448376,94.90825,0.02541648,-0.43056178,8535.878,8.741636,0.028348207,-0.29020685,0,0
2024-09-20 14:20:12,9.443743,94.9882,0.025462333,-0.43609127,8538.239,8.745697,0.029353142,-0.29100728,0,0
2024-09-20 15:20:12,9.439055,95.06671,0.025507435,-0.4414812,8540.522,8.749531,0.030324578,-0.29177785,0,0
2024-09-20 16:20:12,9.434326,95.14383,0.025551803,-0.44673595,8542.7295,8.753149,0.03126359,-0.29252005,0,0
2024-09-20 17:20:12,9.429558,95.219574,0.025595449,-0.45185846,8544.861,8.756557,0.032171488,-0.29323488,0,0
2024-09-20 18:20:12,9.424759,95.29397,0.025638392,-0.4568519,8546.92,8.759766,0.033049226,-0.29392344,0,0
2024-09-20 19:20:12,9.419932,95.367035,0.025680652,-0.46172008,8548.908,8.762779,0.033897877,-0.2945869,0,0
2024-09-20 20:20:12,9.415087,95.438805,0.025722241,-0.46646604,8550.826,8.765606,0.034718513,-0.29522634,0,0
2024-09-20 21:20:12,9.410226,95.50931,0.025763156,-0.47109264,8552.676,8.768254,0.03551209,-0.2958427,0,0
2024-09-20 22:20:12,9.405353,95.57857,0.025803428,-0.47560334,8554.46,8.770728,0.03627968,-0.29643703,0,0
2024-09-20 23:20:12,9.400475,95.6466,0.025843084,-0.48000064,8556.179,8.773037,0.037021875,-0.29701012,0,0
2024-09-21 00:20:12,9.395594,95.71344,0.02588211,-0.4842879,8557.834,8.7751875,0.037739873,-0.29756296,0,0
2024-09-21 01:20:12,9.390717,95.77912,0.025920538,-0.48846787,8559.429,8.777185,0.038434625,-0.2980963,0,0
2024-09-21 02:20:12,9.385842,95.84367,0.025958367,-0.49254277,8560.963,8.779033,0.039106727,-0.29861087,0,0
2024-09-21 03:20:12,9.38098,95.90709,0.025995627,-0.49651635,8562.4375,8.7807455,0.039757013,-0.29910737,0,0
2024-09-21 04:20:12,9.37613,95.96942,0.026032316,-0.50039047,8563.857,8.78232,0.04038632,-0.2995867,0,0
2024-09-21 05:20:12,9.371296,96.03069,0.02606848,-0.5041682,8565.221,8.783766,0.04099548,-0.30004942,0,0
2024-09-21 06:20:12,9.36648,96.09094,0.026104089,-0.50785154,8566.53,8.785089,0.04158497,-0.3004961,0,0
2024-09-21 07:20:12,9.361687,96.15015,0.026139194,-0.5114436,8567.787,8.786293,0.042155743,-0.3009274,0,0
2024-09-21 08:20:12,9.356915,96.20838,0.026173785,-0.5149465,8568.993,8.787384,0.04270816,-0.30134404,0,0
2024-09-21 09:20:12,9.352171,96.265656,0.02620787,-0.51836264,8570.15,8.788368,0.04324329,-0.3017463,0,0
2024-09-21 10:20:12,9.347453,96.321976,0.026241496,-0.5216942,8571.26,8.789247,0.04376149,-0.30213505,0,0
2024-09-21 11:20:12,9.342766,96.37738,0.026274635,-0.52494395,8572.321,8.790028,0.044263363,-0.30251074,0,0
2024-09-21 12:20:12,9.338111,96.431885,0.026307318,-0.5281141,8573.338,8.790714,0.044749618,-0.3028736,0,0
2024-09-21 13:20:12,9.333489,96.48552,0.026339557,-0.5312062,8574.311,8.791313,0.045220494,-0.30322444,0,0
2024-09-21 14:20:12,9.328903,96.5383,0.026371365,-0.53422284,8575.24,8.791824,0.045676947,-0.30356348,0,0
2024-09-21 15:20:12,9.324353,96.59025,0.026402747,-0.537166,8576.129,8.792256,0.046119213,-0.3038913,0,0
